,Facility Size (sq Ft),"Revenue (US Dollars, million)","Net Income (US Dollars, million)",Total Employees,"Total Assets (US Dollars, million)",Owns Rents_Owns,Importer,Exporter,Manufacturing,Women Owned,Minority Owned,RevPerEm,RevPerSq,SqPerEm,LogRpE,LogRpF,LogFpE
97,12000,8.04663,0,30,0,0,0,0,1,0,0,0.268221,0.000670553,400,0.607239703,0.222008775,2.735205861
98,12000,8,0,25,0,0,0,0,0,0,0,0.32,0.000666667,480,0.638238161,0.221390012,2.882867901
99,3566,8,0,4,0,0,0,0,1,0,0,2,0.00224341,891.5,1.292029674,0.254235328,5.082022572
100,40000,7.695707,0,46,0,0,1,1,1,0,0,0.167297978,0.000192393,869.5652174,0.530021924,0.192576482,2.752267141
101,6178,1.610618,0,10,0,0,0,0,1,0,0,0.1610618,0.000260702,617.8,0.198765126,0.054603232,3.640171434
102,9051,4.758538,0,30,0,0,0,0,1,0,0,0.158617933,0.000525747,301.7,0.454265082,0.171222011,2.653076434
103,16000,4.654197,0,25,0,1,1,1,1,1,0,0.18616788,0.000290887,640,0.471983987,0.158854829,2.971165491
104,5000,3.3,0,22,0,0,0,0,1,1,0,0.15,0.00066,227.2727273,0.380776486,0.140177925,2.716379813
105,3000,3.2,0,20,0,0,0,0,0,0,0,0.16,0.001066667,150,0.382047048,0.145278218,2.629761393
106,4321,0.95,0,,0,0,0,0,1,1,0,,0.000219857,,,-0.006127322,
107,6772,0.71,0,14,0,0,0,0,1,0,0,0.050714286,0.000104843,483.7142857,-0.126471182,-0.038828672,3.257159612
108,5000,0.71,0,10,0,0,0,0,1,0,0,0.071,0.000142,500,-0.142829553,-0.04021164,3.551945445
109,16000,5.063395,0,20,0,1,0,0,1,0,0,0.25316975,0.000316462,800,0.532772295,0.167559873,3.179593581
110,65000,5.042121,0,22,0,1,0,0,1,0,0,0.229187318,7.76E-05,2954.545455,0.515971874,0.145985022,3.534416518
111,7114,3.490002,0,10,0,0,1,0,1,0,0,0.3490002,0.000490582,711.4,0.521249749,0.140916311,3.699002226
112,5000,3.453798,0,12,0,0,0,0,1,0,0,0.2878165,0.00069076,416.6666667,0.483235465,0.145526169,3.320608716
113,7874,3.338311,0,20,0,0,0,0,1,0,0,0.16691555,0.000423966,393.7,0.39594551,0.134368721,2.946708935
114,20000,1.8,0,12,0,0,1,0,1,0,0,0.15,9.00E-05,1666.666667,0.229161119,0.059351482,3.861085024
115,9000,1.75,0,10,0,0,0,0,1,0,0,0.175,0.000194444,900,0.23337791,0.061462606,3.797071523
116,13000,1.7,0,17,0,0,0,0,1,0,0,0.1,0.000130769,764.7058824,0.183584776,0.056016552,3.277330887
117,25000,1.1,0,10,0,1,0,0,1,0,0,0.11,4.40E-05,2500,0.039747432,0.009411835,4.223133186
118,3768,1.081345,0,8,0,0,0,0,1,1,0,0.135168125,0.000286981,471,0.035592919,0.009497546,3.747591266
119,3380,1.020198,0,6,0,0,0,0,1,0,0,0.170033,0.000301834,563.3333333,0.010276284,0.002460944,4.175748296
120,6875,1.00998,0,14,0,0,0,0,1,1,0,0.072141429,0.000146906,491.0714286,0.00366704,0.001123916,3.2627338
121,5473,0.75898,0,8,0,0,0,0,1,0,0,0.0948725,0.000138677,684.125,-0.12551282,-0.032039177,3.917479478
122,20000,3.658538,0,15,0,0,0,0,1,0,0,0.243902533,0.000182927,1333.333333,0.467816811,0.130970389,3.571928095
123,35000,3.61477,0,15,0,0,0,0,1,0,0,0.240984667,0.000103279,2333.333333,0.463475964,0.12281521,3.773766825
124,2832,2,0,15,0,0,1,0,1,0,0,0.133333333,0.000706215,188.8,0.25,0.087202162,2.866901388
